
MPY: soft reboot
príjem
MicroPython v1.27.0 on 2025-12-09; Raspberry Pi Pico with RP2040
Type "help()" for more information.
>>> OM4ATC-11,19:48:43.0,49.106648,18.440342,348.7,18.87,983.944, -112
OM4ATC-11,19:48:43.5,49.106636,18.44034,348.3,18.89,983.975, -112
OM4ATC-11,19:48:44.0,49.106616,18.440324,346.8,18.9,983.99, -112
OM4ATC-11,19:48:44.5,49.106604,18.44033,345.0,18.84,984.019, -112
OM4ATC-11,19:48:45.0,49.106596,18.440326,343.5,18.8,983.931, -112
OM4ATC-11,19:48:45.5,49.1065952,18.440324,342.6,18.76,983.994, -111
OM4ATC-11,19:48:46.0,49.106588,18.44032,341.7,18.71,983.978, -108
OM4ATC-11,19:48:46.5,49.10658,18.440318,340.7,18.68,983.932, -111
OM4ATC-11,19:48:47.0,49.106568,18.440314,339.3,18.68,983.958, -111
OM4ATC-11,19:48:47.5,49.106556,18.440312,337.5,18.68,983.977, -112
OM4ATC-11,19:48:48.0,49.10655,18.440312,336.2,18.65,983.992, -111
OM4ATC-11,19:48:48.5,49.10654,18.440308,335.0,18.62,983.998, -111
OM4ATC-11,19:48:49.0,49.106532,18.440302,334.2,18.58,983.945, -110
OM4ATC-11,19:48:49.5,49.106524,18.440298,333.4,18.53,983.966, -110
OM4ATC-11,19:48:50.0,49.106612,18.440274,333.0,18.47,983.979, -111
OM4ATC-11,19:48:50.5,49.10662,18.440272,348.9,18.39,983.962, -113
OM4ATC-11,19:48:51.0,49.10662,18.44027,350.4,18.36,983.976, -114
OM4ATC-11,19:48:51.5,49.10662,18.44027,350.5,18.31,983.952, -113
OM4ATC-11,19:48:52.0,49.10662,18.44027,350.5,18.27,983.925, -112
OM4ATC-11,19:48:52.5,49.10662,18.440272,350.4,18.29,983.982, -111
OM4ATC-11,19:48:53.0,0.0,0.0,350.4,18.34,984.006, -110
OM4ATC-11,19:48:53.5,0.0,0.0,350.4,18.32,983.976, -112
OM4ATC-11,19:48:54.0,0.0,0.0,350.4,18.3,983.998, -113
OM4ATC-11,19:48:54.5,49.106748,18.440338,350.4,18.26,983.989, -114
OM4ATC-11,19:48:55.0,49.106748,18.44033,360.8,18.24,983.984, -120
OM4ATC-11,19:48:55.5,49.106748,18.440328,361.7,18.24,983.958, -116
OM4ATC-11,19:48:56.0,49.106748,18.440322,362.0,18.23,984.014, -112
OM4ATC-11,19:48:56.5,49.106744,18.4403216,362.2,18.2,983.95, -111
OM4ATC-11,19:48:57.0,49.106744,18.44032,362.6,18.2,983.942, -113
OM4ATC-11,19:48:57.5,49.10674,18.440314,362.8,18.19,983.934, -112
OM4ATC-11,19:48:58.0,49.10674,18.440306,363.0,18.15,983.997, -115
OM4ATC-11,19:48:58.5,49.106736,18.440302,363.1,18.1,983.92, -113
OM4ATC-11,19:48:59.0,49.106736,18.440302,363.2,18.07,983.916, -113
OM4ATC-11,19:48:59.5,49.10673,18.440296,363.3,18.04,983.862, -113
OM4ATC-11,19:49:0.0,49.106728,18.440294,363.6,18.02,983.937, -113
OM4ATC-11,19:49:0.5,49.106728,18.440286,363.8,18.0,983.959, -113
OM4ATC-11,19:49:1.0,49.106724,18.4402784,363.9,18.0,983.906, -113
OM4ATC-11,19:49:1.5,49.106724,18.440278,364.0,18.0,983.959, -114
OM4ATC-11,19:49:2.0,49.10672,18.440274,364.1,17.99,983.996, -113
OM4ATC-11,19:49:2.5,49.10672,18.440274,364.3,17.98,983.981, -107
OM4ATC-11,19:49:3.0,49.10672,18.44027,364.4,17.93,983.957, -105
OM4ATC-11,19:49:3.5,49.106716,18.440264,364.5,17.88,983.986, -104
OM4ATC-11,19:49:4.0,49.106712,18.440256,364.6,17.92,984.002, -105
OM4ATC-11,19:49:4.5,49.106712,18.440252,364.7,18.03,983.952, -114
OM4ATC-11,19:49:5.0,49.10671,18.440244,364.8,18.02,983.963, -112
OM4ATC-11,19:49:5.5,49.106704,18.44024,364.6,18.01,983.974, -113
OM4ATC-11,19:49:6.0,49.10671,18.440244,364.5,17.99,984.023, -111
OM4ATC-11,19:49:6.5,49.106712,18.440244,363.9,17.85,984.045, -109
OM4ATC-11,19:49:7.0,49.106712,18.44024,363.7,17.8,984.036, -110
OM4ATC-11,19:49:7.5,49.10671,18.440238,363.4,17.76,983.967, -110
OM4ATC-11,19:49:8.0,49.10671,18.4402368,363.3,17.73,984.034, -111
OM4ATC-11,19:49:8.5,49.10671,18.440236,363.2,17.76,983.975, -114
OM4ATC-11,19:49:9.0,49.106704,18.440228,363.3,17.76,983.975, -108
OM4ATC-11,19:49:9.5,49.106696,18.440222,363.5,17.81,983.999, -106
OM4ATC-11,19:49:10.0,49.106696,18.440224,364.0,17.79,983.96, -106
OM4ATC-11,19:49:10.5,49.106696,18.440222,364.0,17.71,983.996, -110
OM4ATC-11,19:49:11.0,49.106696,18.44023,364.1,17.63,984.065, -113
OM4ATC-11,19:49:11.5,49.106696,18.440226,363.6,17.61,984.061, -109
OM4ATC-11,19:49:12.0,49.106696,18.440222,363.6,17.61,983.955, -106
OM4ATC-11,19:49:12.5,49.106696,18.44022,363.8,17.67,983.942, -106
OM4ATC-11,19:49:13.0,49.106692,18.44022,363.8,17.61,984.008, -107
OM4ATC-11,19:49:13.5,49.106692,18.440222,363.8,17.56,984.036, -111
OM4ATC-11,19:49:14.0,49.10669,18.44021,363.6,17.54,984.006, -106
OM4ATC-11,19:49:14.5,49.10669,18.4402,363.7,17.52,983.975, -105
OM4ATC-11,19:49:15.0,49.10669,18.440196,364.0,17.54,983.934, -105
OM4ATC-11,19:49:15.5,49.106684,18.440196,364.3,17.48,984.019, -110
OM4ATC-11,19:49:16.0,49.10668,18.440184,363.9,17.47,984.056, -109
OM4ATC-11,19:49:16.5,49.106676,18.440154,363.5,17.47,983.951, -105
OM4ATC-11,19:49:17.0,49.106676,18.440148,363.6,17.43,983.897, -104
OM4ATC-11,19:49:17.5,49.1066784,18.4401552,364.2,17.4,984.028, -107
OM4ATC-11,19:49:18.0,49.1066784,18.44016,364.4,17.38,984.076, -110
OM4ATC-11,19:49:18.5,49.1066784,18.44017,364.3,17.36,984.019, -104
OM4ATC-11,19:49:19.0,49.10668,18.440182,364.5,17.3,984.021, -104
OM4ATC-11,19:49:19.5,49.106684,18.44019,364.7,17.28,983.938, -106
OM4ATC-11,19:49:20.0,49.106684,18.44019,364.9,17.23,984.071, -113
OM4ATC-11,19:49:20.5,49.106684,18.4401968,364.7,17.2,983.973, -106
OM4ATC-11,19:49:21.0,49.10669,18.440202,364.6,17.18,983.942, -105
OM4ATC-11,19:49:21.5,49.10669,18.440212,364.7,17.23,984.019, -106
OM4ATC-11,19:49:22.0,49.10669,18.440214,364.8,17.17,984.077, -108
OM4ATC-11,19:49:22.5,49.10669,18.44022,364.8,17.09,984.04, -113
OM4ATC-11,19:49:23.0,49.10669,18.440226,364.6,17.08,983.999, -104
OM4ATC-11,19:49:23.5,49.106696,18.44024,364.5,17.02,983.967, -105
OM4ATC-11,19:49:24.0,49.1067,18.440238,364.1,16.99,983.913, -106
OM4ATC-11,19:49:24.5,49.106704,18.44024,363.4,16.94,983.994, -103
OM4ATC-11,19:49:25.0,49.106712,18.440248,362.8,16.93,984.031, -104
OM4ATC-11,19:49:25.5,49.106716,18.440254,362.1,16.94,983.942, -107
OM4ATC-11,19:49:26.0,49.106716,18.440254,361.5,16.99,983.913, -120
OM4ATC-11,19:49:26.5,49.106716,18.44025,361.5,16.96,983.92, -121
OM4ATC-11,19:49:27.0,49.106712,18.440236,361.7,16.92,983.918, -115
OM4ATC-11,19:49:27.5,49.10671,18.44023,362.0,16.91,983.948, -121
OM4ATC-11,19:49:28.0,49.10671,18.440224,362.3,16.91,984.001, -112
OM4ATC-11,19:49:28.5,49.10671,18.44023,362.5,16.88,984.007, -113
OM4ATC-11,19:49:29.0,49.10671,18.440232,362.5,16.9,983.985, -112
OM4ATC-11,19:49:29.5,49.10671,18.440232,362.4,16.86,983.924, -112
OM4ATC-11,19:49:30.0,49.10671,18.440236,362.5,16.85,983.961, -111
OM4ATC-11,19:49:30.5,49.106704,18.440228,362.6,16.84,983.946, -113
OM4ATC-11,19:49:31.0,49.106704,18.440228,362.6,16.83,983.983, -113
OM4ATC-11,19:49:31.5,49.106704,18.440226,362.8,16.81,983.941, -112
OM4ATC-11,19:49:32.0,49.1067,18.440226,363.0,16.81,983.907, -113
OM4ATC-11,19:49:32.5,49.1067,18.440224,363.2,16.77,983.958, -113
OM4ATC-11,19:49:33.0,49.1067,18.440224,363.3,16.76,983.996, -113
OM4ATC-11,19:49:33.5,49.106696,18.440224,363.5,16.74,984.018, -113
OM4ATC-11,19:49:34.0,49.106696,18.440222,363.6,16.7,983.956, -113
OM4ATC-11,19:49:34.5,49.106696,18.440222,363.7,16.7,984.009, -113
OM4ATC-11,19:49:35.0,49.106696,18.440226,363.8,16.7,983.956, -113
OM4ATC-11,19:49:35.5,49.106696,18.440228,364.1,16.68,983.952, -113
OM4ATC-11,19:49:36.0,49.106696,18.44023,364.4,16.66,983.947, -114
OM4ATC-11,19:49:36.5,49.106696,18.440228,364.7,16.65,983.932, -112
OM4ATC-11,19:49:37.0,49.106696,18.440228,364.9,16.64,983.969, -113
OM4ATC-11,19:49:37.5,49.1067,18.440236,365.2,16.63,983.999, -112
OM4ATC-11,19:49:38.0,49.106696,18.440234,365.5,16.59,983.998, -113
OM4ATC-11,19:49:38.5,49.106696,18.44023,365.8,16.56,983.951, -111
OM4ATC-11,19:49:39.0,49.106696,18.440228,365.8,16.55,983.996, -109
OM4ATC-11,19:49:39.5,49.106696,18.440214,365.8,16.54,983.999, -103
OM4ATC-11,19:49:40.0,49.106696,18.440208,365.9,16.5,983.938, -105
OM4ATC-11,19:49:40.5,49.106692,18.440196,366.1,16.48,983.994, -104
OM4ATC-11,19:49:41.0,49.106692,18.44019,366.2,16.47,983.944, -105
OM4ATC-11,19:49:41.5,49.106692,18.440188,366.2,16.46,983.955, -103
OM4ATC-11,19:49:42.0,49.106696,18.44019,366.1,16.47,984.023, -106
OM4ATC-11,19:49:42.5,49.1067,18.4401968,365.8,16.45,984.045, -111
OM4ATC-11,19:49:43.0,49.1067,18.440208,365.9,16.42,984.052, -112
OM4ATC-11,19:49:43.5,49.106704,18.440214,366.1,16.42,983.999, -111
OM4ATC-11,19:49:44.0,49.106704,18.44022,366.1,16.41,983.984, -111
OM4ATC-11,19:49:44.5,49.106704,18.44022,366.0,16.39,984.005, -110
OM4ATC-11,19:49:45.0,49.106704,18.440222,366.1,16.37,983.975, -111
OM4ATC-11,19:49:45.5,49.106704,18.440224,366.0,16.35,983.951, -111
OM4ATC-11,19:49:46.0,49.106704,18.440226,366.1,16.33,984.044, -110
OM4ATC-11,19:49:46.5,49.10671,18.440232,366.1,16.29,984.025, -111
OM4ATC-11,19:49:47.0,49.106712,18.440238,365.8,16.28,983.949, -111
OM4ATC-11,19:49:47.5,49.106716,18.440242,365.4,16.25,984.016, -112
OM4ATC-11,19:49:48.0,49.10672,18.44025,365.1,16.25,983.989, -112
OM4ATC-11,19:49:48.5,49.10672,18.440252,364.8,16.23,983.977, -111
OM4ATC-11,19:49:49.0,49.106724,18.440258,364.6,16.19,983.95, -110
OM4ATC-11,19:49:49.5,49.106728,18.440264,364.3,16.17,983.998, -110
OM4ATC-11,19:49:50.0,49.10673,18.440272,364.0,16.18,983.961, -111
OM4ATC-11,19:49:50.5,49.106736,18.440278,363.6,16.16,983.956, -111
OM4ATC-11,19:49:51.0,49.106744,18.44029,363.4,16.15,983.967, -111
OM4ATC-11,19:49:51.5,49.10675,18.440302,362.7,16.12,983.973, -111
OM4ATC-11,19:49:52.0,49.106756,18.440312,362.2,16.09,983.98, -112
OM4ATC-11,19:49:52.5,49.10676,18.440326,362.0,16.08,984.017, -110
OM4ATC-11,19:49:53.0,49.10676,18.440332,361.4,16.05,984.023, -110
OM4ATC-11,19:49:53.5,49.1067616,18.44034,361.2,16.03,983.992, -111
OM4ATC-11,19:49:54.0,49.106764,18.440346,360.6,16.04,983.955, -111
OM4ATC-11,19:49:54.5,49.106764,18.440346,360.6,16.03,983.94, -111
OM4ATC-11,19:49:55.0,49.106764,18.440346,360.6,16.01,984.014, -110
OM4ATC-11,19:49:55.5,49.1067616,18.440344,360.6,16.0,983.999, -111
OM4ATC-11,19:49:56.0,49.1067616,18.440342,360.9,15.98,984.028, -111
OM4ATC-11,19:49:56.5,49.1067616,18.440344,361.2,15.97,983.979, -111
OM4ATC-11,19:49:57.0,49.1067616,18.440342,361.3,15.94,983.94, -110
OM4ATC-11,19:49:57.5,49.1067616,18.440346,361.4,15.93,983.944, -111
OM4ATC-11,19:49:58.0,49.106764,18.440352,361.7,15.91,983.966, -111
OM4ATC-11,19:49:58.5,49.106764,18.44036,361.9,15.89,983.987, -111
OM4ATC-11,19:49:59.0,49.106764,18.440362,362.1,15.89,984.092, -111
OM4ATC-11,19:49:59.5,49.10677,18.440376,362.1,15.85,983.978, -111
OM4ATC-11,19:50:0.0,49.106772,18.440386,361.9,15.8,983.969, -111
OM4ATC-11,19:50:0.5,49.10678,18.4404032,361.8,15.83,983.974, -111
OM4ATC-11,19:50:1.0,49.10678,18.440412,361.4,15.8,983.995, -111
OM4ATC-11,19:50:1.5,49.10679,18.44043,361.3,15.79,983.98, -111
OM4ATC-11,19:50:2.0,49.106792,18.440434,360.5,15.77,983.975, -110
OM4ATC-11,19:50:2.5,49.106792,18.440436,360.4,15.77,984.002, -111
OM4ATC-11,19:50:3.0,49.106796,18.4404432,360.2,15.75,983.971, -113
OM4ATC-11,19:50:3.5,49.1068,18.44045,359.6,15.72,983.943, -113
OM4ATC-11,19:50:4.0,49.106808,18.44046,359.2,15.72,984.004, -112
OM4ATC-11,19:50:4.5,49.10681,18.440466,358.5,15.69,984.01, -114
OM4ATC-11,19:50:5.0,49.106828,18.4404852,357.8,15.68,983.942, -113
OM4ATC-11,19:50:5.5,49.10684,18.440504,356.2,15.66,984.016, -113
OM4ATC-11,19:50:6.0,49.106852,18.440526,354.9,15.63,983.97, -112
OM4ATC-11,19:50:6.5,49.106876,18.44056,352.9,15.63,984.015, -113
OM4ATC-11,19:50:7.0,49.1069,18.440602,350.4,15.62,984.007, -112
OM4ATC-11,19:50:7.5,49.106932,18.440654,347.5,15.6,983.95, -112
OM4ATC-11,19:50:8.0,0.0,0.0,343.9,15.59,984.013, -112
OM4ATC-11,19:50:8.5,0.0,0.0,343.9,15.6,983.976, -113
OM4ATC-11,19:50:9.0,49.10694,18.440668,343.9,15.57,983.983, -107
OM4ATC-11,19:50:9.5,49.106944,18.440676,342.6,15.55,984.004, -105
OM4ATC-11,19:50:10.0,49.106952,18.44069,342.1,15.54,984.042, -105
OM4ATC-11,19:50:10.5,49.106936,18.440664,341.3,15.54,984.015, -106
OM4ATC-11,19:50:11.0,49.106924,18.440636,342.8,15.5,983.98, -109
OM4ATC-11,19:50:11.5,49.106896,18.440582,344.1,15.49,984.017, -109
OM4ATC-11,19:50:12.0,49.10688,18.440552,345.8,15.47,984.012, -108
OM4ATC-11,19:50:12.5,49.10687,18.44053,347.7,15.46,984.031, -110
OM4ATC-11,19:50:13.0,49.10686,18.440524,349.2,15.43,983.977, -109
OM4ATC-11,19:50:13.5,49.106864,18.440546,350.0,15.42,984.048, -110
OM4ATC-11,19:50:14.0,49.106872,18.440574,350.4,15.41,984.006, -110
OM4ATC-11,19:50:14.5,49.106872,18.440576,350.5,15.39,983.968, -109
OM4ATC-11,19:50:15.0,49.106872,18.440578,350.8,15.38,984.031, -110
OM4ATC-11,19:50:15.5,49.106872,18.440582,350.8,15.36,984.027, -111
OM4ATC-11,19:50:16.0,49.106876,18.440588,350.5,15.34,983.996, -109
OM4ATC-11,19:50:16.5,49.10688,18.440592,350.2,15.31,984.018, -110
OM4ATC-11,19:50:17.0,49.10688,18.440594,350.0,15.3,984.055, -110
OM4ATC-11,19:50:17.5,49.106884,18.440602,349.9,15.28,983.971, -109
OM4ATC-11,19:50:18.0,49.106884,18.440604,349.7,15.27,984.001, -110
OM4ATC-11,19:50:18.5,49.106884,18.4406092,349.7,15.25,984.03, -110
