17:58:34.5,0.0,0.0,0.0,26.07,979.466
17:59:12.5,0.0,0.0,0.0,26.09,979.604
18:0:54.0,0.0,0.0,0.0,26.14,979.546
18:0:54.5,0.0,0.0,0.0,26.15,979.58
18:0:55.5,0.0,0.0,0.0,26.14,979.546
18:0:56.0,0.0,0.0,0.0,26.14,979.572
18:0:56.5,0.0,0.0,0.0,26.14,979.599
18:0:57.0,0.0,0.0,0.0,26.14,979.599
18:0:57.5,0.0,0.0,0.0,26.15,979.561
18:0:58.0,0.0,0.0,0.0,26.14,979.572
18:0:58.5,0.0,0.0,0.0,26.15,979.587
18:0:59.0,0.0,0.0,0.0,26.15,979.587
18:0:59.5,0.0,0.0,0.0,26.15,979.641
18:1:0.0,0.0,0.0,0.0,26.16,979.542
18:1:0.5,0.0,0.0,0.0,26.15,979.561
18:1:1.0,0.0,0.0,0.0,26.15,979.633
18:1:2.0,0.0,0.0,0.0,26.16,979.603
18:1:2.5,0.0,0.0,0.0,26.15,979.587
18Z1:3.6,0.0,0.0,0.0,6.15,99n587
18:1:3.5,0.0,0.0,0.0,26.15,979.58
18:1:4.0,0.0,0.0,0.0,26.15,979.534
18:1:4.5,0.0,0.0,0.0,26.15,979.587
18:1:5.0,0.0,0.0,0.0,26.15,979.587
18:1:5.5,0.0,0.0,0.0,26.15,979.587
18:1:6.0,0.0,0.0,0.0,26.16,979.576
18:1:6.5,0.0,0.0,0.0,26.15,979.587
18:1:7.0,0.0,0.0,0.0,26.17,979.591
18:1:7.5,0.0,0.0,0.0,26.16,979.622
18:1:8.0,0.0,0.0,0.0,26.16,979.603
18:1:8.5,0.0,0.0,0.0,26.16,979.522
18:1:9.0,0.0,0.0,0.0,26.16,979.603
18:1:9.5,0.0,0.0,0.0,26.16,979.549
18:1:10.0,0.0,0.0,0.0,26.16,979.576
18:1:10.5,0.0,0.0,0.0,26.16,979.595
18:1:11.0,0.0,0.0,0.0,26.16,979.576
18:1:11.5,0.0,0.0,0.0,26.16,979.603
18:2:0.5,0.0,0.0,0.0,26.18,979.572
18:2:1.0,0.0,0.0,0.0,26.17,979.564
18:2:1.5,0.0,0.0,0.0,26.18,979.625
18:2:2.0,0.0,0.0,0.0,26.17,979.618
18:2:2.5,0.0,0.0,0.0,26.17,979.618
18:2:3.0,0.0,0.0,0.0,26.18,979.633
18:2:3.5,0.0,0.0,0.0,26.18,979.625
18:2:4.0,0.0,0.0,0.0,26.17,979.671
18:2:4.5,0.0,0.0,0.0,26.17,979.618
18:2:5.0,0.0,0.0,0.0,26.18,979.686
18:2:5.5,0.0,0.0,0.0,26.17,979.591
18:2:6.5,0.0,0.0,0.0,26.18,979.66
18:2:7.0,0.0,0.0,0.0,26.18,979.633
18:2:7.5,0.0,0.0,0.0,26.18,979.606
18:2:8.5,0.0,0.0,0.0,26.17,979.564
18:2:9.0,0.0,0.0,0.0,26.17,979.618
18:2:9.5,0.0,0.0,0.0,26.17,979.618
18:2:10.0,0.0,0.0,0.0,26.17,979.591
18:2:10.5,0.0,0.0,0.0,26.18,979.679
18:2:11.0,0.0,0.0,0.0,26.17,979.591
18:2:11.5,0.0,0.0,0.0,26.18,979.625
18:2:12.0,0.0,0.0,0.0,26.18,979.625
18:2:12.5,0.0,0.0,0.0,26.18,979.633
18:2:13.5,0.0,0.0,0.0,26.18,979.572
18:2:14.0,0.0,0.0,0.0,26.18,979.606
18:2:14.5,0.0,0.0,0.0,26.17,979.61
18:2:15.0,0.0,0.0,0.0,26.17,979.618
18:2:15.5,0.0,0.0,0.0,26.18,979.625
18:2:16.0,0.0,0.0,0.0,26.18,979.633
18:2:16.5,0.0,0.0,0.0,26.18,979.606
18:2:17.0,0.0,0.0,0.0,26.17,979.671
18:2:17.5,0.0,0.0,0.0,26.16,979.603
18:2:18.0,0.0,0.0,0.0,26.17,979.618
18:2:18.5,0.0,0.0,0.0,26.17,979.618
18:2:19.0,0.0,0.0,0.0,26.16,979.683
18:2:19.5,0.0,0.0,0.0,26.17,979.618
18:2:20.0,0.0,0.0,0.0,26.17,979.671
18:3:0.5,0.0,0.0,0.0,26.17,979.618
18:3:1.0,0.0,0.0,0.0,26.18,979.66
18:3:1.5,0.0,0.0,0.0,26.18,979.633
18:3:2.0,0.0,0.0,0.0,26.18,979.679
18:3:3.5,0.0,0.0,0.0,26.18,979.686
18:3:4.0,0.0,0.0,0.0,26.18,979.606
18:3:4.5,0.0,0.0,0.0,26.18,979.572
18:3:5.0,0.0,0.0,0.0,26.18,979.625
18:3:5.5,0.0,0.0,0.0,26.18,979.652
18:3:6.0,0.0,0.0,0.0,26.17,979.664
18:3:6.5,0.0,0.0,0.0,26.17,979.618
18:3:7.0,0.0,0.0,0.0,26.18,979.625
18:3:7.5,0.0,0.0,0.0,26.18,979.679
18:3:8.0,0.0,0.0,0.0,26.17,979.644
18:3:8.5,0.0,0.0,0.0,26.18,979.572
18:3:9.0,0.0,0.0,0.0,26.17,979.671
18:3:12.0,0.0,0.0,0.0,26.17,979.671
